iter	Passed	Remaining
0	1	791
1	3	924
2	5	931
3	7	911
4	9	932
5	11	943
6	13	921
7	14	902
8	16	886
9	17	879
10	19	866
11	21	884
12	23	887
13	25	893
14	27	883
15	28	874
16	30	872
17	32	871
18	34	863
19	35	855
20	37	850
21	38	845
22	40	841
23	42	839
24	44	837
25	45	832
26	47	828
27	48	824
28	50	818
29	51	813
30	54	829
31	56	830
32	59	834
33	60	833
34	62	834
35	64	830
36	65	825
37	67	820
38	69	817
39	70	813
40	72	808
41	73	803
42	75	798
43	76	794
44	78	790
45	79	786
46	81	782
47	82	779
48	84	774
49	85	771
50	87	768
51	89	768
52	90	765
53	92	761
54	93	759
55	95	756
56	96	752
57	98	749
58	99	745
59	101	743
60	103	742
61	104	739
62	106	737
63	107	733
64	109	731
65	110	728
66	112	725
67	113	721
68	115	718
69	116	715
70	118	713
71	119	711
72	121	708
73	122	706
74	124	703
75	125	701
76	127	700
77	128	697
78	130	694
79	131	692
80	133	690
81	134	687
82	136	685
83	137	682
84	139	680
85	140	678
86	142	676
87	144	675
88	145	673
89	147	672
90	149	670
91	150	668
92	152	666
93	154	665
94	155	663
95	157	661
96	158	659
97	160	657
98	161	655
99	163	653
100	164	651
101	166	650
102	168	648
103	169	646
104	171	644
105	172	642
106	174	640
107	175	638
108	177	636
109	178	634
110	180	632
111	182	632
112	184	631
113	186	630
114	187	628
115	189	627
116	190	625
117	192	623
118	194	621
119	195	619
120	197	618
121	199	617
122	200	615
123	202	613
124	203	611
125	205	609
126	207	608
127	208	606
128	210	604
129	211	602
130	213	601
131	215	600
132	217	598
133	218	597
134	220	595
135	221	593
136	223	591
137	225	590
138	226	588
139	228	587
140	230	587
141	232	587
142	234	585
143	236	583
144	237	581
145	239	580
146	240	578
147	242	576
148	244	574
149	246	574
150	247	573
151	249	571
152	251	569
153	252	567
154	254	565
155	255	564
156	257	562
157	258	560
158	260	558
159	262	557
160	264	556
161	265	554
162	267	552
163	269	551
164	270	549
165	271	547
166	273	545
167	275	543
168	276	542
169	278	540
170	280	539
171	281	537
172	283	536
173	285	535
174	287	533
175	288	531
176	290	529
177	291	528
178	293	526
179	295	525
180	297	523
181	298	522
182	300	521
183	302	519
184	304	517
185	305	516
186	307	514
187	308	512
188	310	511
189	312	509
190	314	508
191	315	506
192	317	504
193	318	503
194	320	501
195	322	499
196	323	497
197	325	496
198	327	495
199	328	493
200	330	492
201	332	490
202	334	488
203	335	486
204	337	485
205	338	483
206	340	481
207	342	480
208	344	479
209	346	477
210	347	476
211	349	474
212	350	472
213	352	471
214	354	469
215	355	467
216	357	466
217	359	464
218	360	463
219	362	461
220	363	459
221	365	457
222	367	455
223	368	454
224	370	452
225	371	450
226	373	449
227	375	447
228	376	446
229	378	444
230	380	442
231	381	441
232	383	439
233	384	437
234	386	435
235	387	433
236	389	432
237	391	430
238	393	429
239	394	427
240	396	426
241	397	424
242	399	422
243	401	420
244	402	419
245	404	417
246	405	415
247	407	414
248	409	412
249	410	410
250	412	409
251	413	407
252	415	405
253	417	404
254	418	402
255	420	400
256	422	399
257	423	397
258	425	396
259	427	394
260	428	392
261	430	390
262	431	389
263	433	387
264	435	385
265	436	384
266	438	382
267	440	381
268	441	379
269	443	377
270	444	375
271	446	374
272	448	372
273	449	371
274	451	369
275	452	367
276	454	365
277	456	364
278	457	362
279	459	360
280	460	359
281	462	357
282	463	355
283	465	354
284	467	352
285	469	350
286	470	349
287	472	347
288	473	345
289	475	344
290	477	342
291	478	341
292	480	339
293	481	337
294	483	335
295	485	334
296	486	332
297	488	331
298	490	329
299	491	327
300	493	325
301	494	324
302	496	322
303	497	320
304	499	319
305	500	317
306	502	316
307	504	314
308	506	312
309	507	311
310	509	309
311	511	307
312	512	306
313	513	304
314	515	302
315	517	301
316	518	299
317	520	297
318	521	296
319	523	294
320	525	292
321	527	291
322	528	289
323	530	288
324	531	286
325	533	284
326	535	283
327	536	281
328	538	279
329	540	278
330	541	276
331	543	274
332	544	273
333	546	271
334	547	269
335	549	268
336	551	266
337	552	264
338	554	263
339	555	261
340	557	259
341	558	258
342	560	256
343	561	254
344	563	253
345	564	251
346	566	249
347	568	248
348	569	246
349	571	244
350	573	243
351	574	241
352	576	239
353	577	238
354	579	236
355	580	235
356	582	233
357	584	231
358	585	230
359	587	228
360	588	226
361	590	225
362	592	223
363	593	221
364	595	220
365	596	218
366	598	216
367	600	215
368	601	213
369	603	211
370	604	210
371	606	208
372	607	207
373	609	205
374	611	203
375	612	201
376	614	200
377	616	198
378	617	197
379	619	195
380	620	193
381	622	192
382	624	190
383	625	188
384	627	187
385	628	185
386	630	184
387	632	182
388	633	180
389	635	179
390	637	177
391	638	175
392	640	174
393	641	172
394	643	171
395	645	169
396	646	167
397	648	166
398	649	164
399	651	162
400	652	161
401	654	159
402	656	157
403	657	156
404	659	154
405	660	152
406	662	151
407	663	149
408	665	148
409	666	146
410	668	144
411	670	143
412	671	141
413	673	139
414	674	138
415	676	136
416	677	134
417	679	133
418	681	131
419	682	130
420	684	128
421	686	126
422	687	125
423	689	123
424	690	121
425	692	120
426	694	118
427	695	117
428	697	115
429	698	113
430	700	112
431	702	110
432	703	108
433	704	107
434	706	105
435	708	103
436	710	102
437	712	100
438	714	99
439	715	97
440	717	95
441	718	94
442	720	92
443	722	91
444	723	89
445	724	87
446	726	86
447	728	84
448	729	82
449	731	81
450	732	79
451	734	77
452	736	76
453	737	74
454	739	73
455	740	71
456	742	69
457	744	68
458	745	66
459	747	64
460	749	63
461	750	61
462	752	60
463	754	58
464	755	56
465	757	55
466	758	53
467	760	51
468	761	50
469	763	48
470	764	47
471	766	45
472	768	43
473	769	42
474	771	40
475	772	38
476	774	37
477	775	35
478	777	34
479	779	32
480	780	30
481	782	29
482	783	27
483	785	25
484	786	24
485	788	22
486	789	21
487	791	19
488	792	17
489	794	16
490	796	14
491	797	12
492	799	11
493	801	9
494	802	8
495	804	6
496	805	4
497	807	3
498	808	1
499	810	0
