category,type,mean_price,mean_rating
ART_AND_DESIGN,Free,0.0,4.34
ART_AND_DESIGN,Paid,1.99,4.73
AUTO_AND_VEHICLES,Free,0.0,4.18
AUTO_AND_VEHICLES,Paid,4.49,4.6
BEAUTY,Free,0.0,4.28
BOOKS_AND_REFERENCE,Free,0.0,4.35
BOOKS_AND_REFERENCE,Paid,4.28,4.28
BUSINESS,Free,0.0,4.1
BUSINESS,Paid,14.61,4.08
COMICS,Free,0.0,4.18
COMMUNICATION,Free,0.0,4.13
COMMUNICATION,Paid,3.08,4.06
DATING,Free,0.0,3.98
DATING,Paid,4.57,3.43
EDUCATION,Free,0.0,4.35
EDUCATION,Paid,4.49,4.75
ENTERTAINMENT,Free,0.0,4.13
ENTERTAINMENT,Paid,3.99,4.6
EVENTS,Free,0.0,4.44
EVENTS,Paid,109.99,
FAMILY,Free,0.0,4.17
FAMILY,Paid,13.11,4.28
FINANCE,Free,0.0,4.13
FINANCE,Paid,170.64,3.83
FOOD_AND_DRINK,Free,0.0,4.17
FOOD_AND_DRINK,Paid,4.24,4.35
GAME,Free,0.0,4.24
GAME,Paid,3.47,4.37
HEALTH_AND_FITNESS,Free,0.0,4.24
HEALTH_AND_FITNESS,Paid,4.29,4.39
HOUSE_AND_HOME,Free,0.0,4.15
LIBRARIES_AND_DEMO,Free,0.0,4.18
LIBRARIES_AND_DEMO,Paid,0.99,
LIFESTYLE,Free,0.0,4.08
LIFESTYLE,Paid,124.26,4.25
MAPS_AND_NAVIGATION,Free,0.0,4.04
MAPS_AND_NAVIGATION,Paid,5.39,3.86
MEDICAL,Free,0.0,4.15
MEDICAL,Paid,12.0,4.23
NEWS_AND_MAGAZINES,Free,0.0,4.11
NEWS_AND_MAGAZINES,Paid,1.99,4.8
PARENTING,Free,0.0,4.34
PARENTING,Paid,4.79,3.35
PERSONALIZATION,Free,0.0,4.3
PERSONALIZATION,Paid,1.86,4.45
PHOTOGRAPHY,Free,0.0,4.17
PHOTOGRAPHY,Paid,6.23,4.01
PRODUCTIVITY,Free,0.0,4.18
PRODUCTIVITY,Paid,8.96,4.21
SHOPPING,Free,0.0,4.23
SHOPPING,Paid,2.74,4.5
SOCIAL,Free,0.0,4.25
SOCIAL,Paid,5.32,3.7
SPORTS,Free,0.0,4.21
SPORTS,Paid,4.17,4.25
TOOLS,Free,0.0,4.03
TOOLS,Paid,3.43,4.17
TRAVEL_AND_LOCAL,Free,0.0,4.07
TRAVEL_AND_LOCAL,Paid,4.16,4.1
VIDEO_PLAYERS,Free,0.0,4.04
VIDEO_PLAYERS,Paid,2.62,4.1
WEATHER,Free,0.0,4.23
WEATHER,Paid,4.05,4.37
